setome	grouping	set_label	site	sampling_time	med_disp	mean_disp	mean.distance.to.centroid
metabolome	all	all	LB_seagrass	all	0.34725500196075415	0.3474723290583159	0.3515159060615347
metabolome	all	all	Yawzi	all	0.32693746639102955	0.3450718715051586	0.3515159060615347
metabolome	all	all	Tektite	all	0.3501897050442639	0.3616800314608722	0.3515159060615347
metabolome	site	LB_seagrass.daily	LB_seagrass	all	0.10275637329424567	0.11390653202508991	0.11390653202508991
metabolome	site	Yawzi.daily	Yawzi	all	0.16608528750990867	0.19819539257977115	0.19819539257977115
metabolome	site	Tektite.daily	Tektite	all	0.2400191138497964	0.2574540013004043	0.2574540013004043
metabolome	site.time	LB_seagrass.dawn	LB_seagrass	dawn	0.07855119536840768	0.09312975240334381	0.09312975240334381
metabolome	site.time	LB_seagrass.peak_photo	LB_seagrass	peak_photo	0.09055083673548057	0.09413032212922301	0.09413032212922301
metabolome	site.time	Yawzi.dawn	Yawzi	dawn	0.07715084543820325	0.1028334194779304	0.1028334194779304
metabolome	site.time	Yawzi.peak_photo	Yawzi	peak_photo	0.22272243317356508	0.21902013876465126	0.21902013876465126
metabolome	site.time	Tektite.dawn	Tektite	dawn	0.16637641341515164	0.20418289035918155	0.20418289035918155
metabolome	site.time	Tektite.peak_photo	Tektite	peak_photo	0.19812020359901836	0.20893963027150997	0.20893963027150997
microbiome	all	all	LB_seagrass	all	0.5211225447524	0.5229738052601525	0.5082043911096414
microbiome	all	all	Yawzi	all	0.4935140455412572	0.49575382381675914	0.5082043911096414
microbiome	all	all	Tektite	all	0.49581631839918366	0.5065009365082842	0.5082043911096414
microbiome	site	LB_seagrass.daily	LB_seagrass	all	0.22294616583658555	0.23009764675342798	0.23009764675342798
microbiome	site	Yawzi.daily	Yawzi	all	0.20144971159271235	0.20636505198313432	0.20636505198313432
microbiome	site	Tektite.daily	Tektite	all	0.19682137346181833	0.20490194625009459	0.20490194625009459
microbiome	site.time	LB_seagrass.dawn	LB_seagrass	dawn	0.10580534128939727	0.11345005249459975	0.11345005249459975
microbiome	site.time	LB_seagrass.peak_photo	LB_seagrass	peak_photo	0.17873015336044554	0.19468967628287098	0.19468967628287098
microbiome	site.time	Yawzi.dawn	Yawzi	dawn	0.1359697153400825	0.13994743971657864	0.13994743971657864
microbiome	site.time	Yawzi.peak_photo	Yawzi	peak_photo	0.09091094706623506	0.0955440577849246	0.0955440577849246
microbiome	site.time	Tektite.dawn	Tektite	dawn	0.09246808674707535	0.10236125814724775	0.10236125814724775
microbiome	site.time	Tektite.peak_photo	Tektite	peak_photo	0.15395587228692242	0.16301418660398914	0.16301418660398914
