label	NMDS1	NMDS2	sample_type	sampling_date	sampling_time	sampling_day	site
Metab_183	-0.1684710409655033	0.10733344543908292	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_189	-0.13040562159773264	-0.026912461085407804	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_237	-0.08496853774134737	0.12333934328390304	seawater	20210123	dawn	Day2	LB_seagrass
Metab_240	-0.035021558681883024	0.14732642936785795	seawater	20210123	dawn	Day2	LB_seagrass
Metab_272	-0.016335965701258857	0.04961965979944685	seawater	20210124	dawn	Day3	LB_seagrass
Metab_273	0.33035512689963864	0.05312773480113078	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_279	0.06358910181070862	-0.10471656739037422	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_281	-0.20148382261728132	-0.17782029352803322	seawater	20210124	dawn	Day3	LB_seagrass
Metab_282	0.08360010668560013	-0.07417957125389303	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_286	-0.21306312945818792	0.03890150329898201	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_287	-0.24471633301536447	-0.08977194338429934	seawater	20210124	dawn	Day3	LB_seagrass
Metab_289	-0.0983082959804198	0.05234697209071598	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_309	-0.029744484138474293	-0.10626190943082763	seawater	20210126	dawn	Day5	LB_seagrass
Metab_318	0.03793245582986413	-0.011367770050831717	seawater	20210126	dawn	Day5	LB_seagrass
Metab_324	0.14191821371985608	0.03542259879017788	seawater	20210126	dawn	Day5	LB_seagrass
Metab_326	0.4374659754685116	0.022746427571413853	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_328	-0.011970200306736664	-0.03375727129419836	seawater	20210125	dawn	Day4	LB_seagrass
Metab_329	0.3246161504022527	-0.026647003326710727	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_332	0.23035736248697786	-0.034205868624638584	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_334	-0.01945461201867459	-0.09184812723206537	seawater	20210125	dawn	Day4	LB_seagrass
Metab_337	-0.03892914961072167	-0.019534612227019764	seawater	20210125	dawn	Day4	LB_seagrass
Metab_219	-0.3475871988946125	0.060892150703378486	seawater	20210123	dawn	Day2	LB_seagrass
Metab_233	-0.009374542575211446	0.10596713368221003	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_227	-0.034520673981061775	0.022753340414988513	seawater	20210123	peak_photo	Day2	Tektite
Metab_234	0.09438413927445696	-0.008589315470325036	seawater	20210123	dawn	Day2	Tektite
Metab_236	0.028277483625082235	-0.06595981242191663	seawater	20210123	peak_photo	Day2	Tektite
Metab_241	0.35430510820858724	-0.08608854131748987	seawater	20210123	dawn	Day2	Tektite
Metab_261	-0.009486543179820334	0.013591796761283316	seawater	20210125	peak_photo	Day4	Tektite
Metab_264	-0.05056212549733742	-0.008511573119636575	seawater	20210125	peak_photo	Day4	Tektite
Metab_266	0.0028004621220671763	0.09889076257596849	seawater	20210124	peak_photo	Day3	Tektite
Metab_270	-0.06284967006092373	0.035326999080306544	seawater	20210125	peak_photo	Day4	Tektite
Metab_275	0.046847521317782366	0.0031120758348385223	seawater	20210124	dawn	Day3	Tektite
Metab_277	0.002860597012180819	0.049530257710970936	seawater	20210124	peak_photo	Day3	Tektite
Metab_278	0.023063353473849565	0.03635904434372829	seawater	20210124	dawn	Day3	Tektite
Metab_283	0.06960219880057278	0.05612974322421643	seawater	20210124	peak_photo	Day3	Tektite
Metab_290	-0.05973606769468567	0.002230419850136753	seawater	20210124	dawn	Day3	Tektite
Metab_311	-0.12220799230428057	-0.09483651693951954	seawater	20210126	peak_photo	Day5	Tektite
Metab_312	-0.04858760998877109	-0.05570644603086064	seawater	20210126	dawn	Day5	Tektite
Metab_314	-0.10085812511131981	-0.07425073476617568	seawater	20210126	peak_photo	Day5	Tektite
Metab_315	-0.06828852223839074	0.007588267924744158	seawater	20210126	dawn	Day5	Tektite
Metab_316	-0.04637715394403504	0.039563104304446664	seawater	20210125	dawn	Day4	Tektite
Metab_319	-0.016156145062748994	-0.057677915416330085	seawater	20210125	dawn	Day4	Tektite
Metab_320	-0.10285436050650697	-0.038782795782972	seawater	20210126	peak_photo	Day5	Tektite
Metab_321	-0.04278962918825652	-0.05130491545892103	seawater	20210126	dawn	Day5	Tektite
Metab_322	-0.038131063012140344	-0.03572841013261036	seawater	20210125	dawn	Day4	Tektite
Metab_224	0.18687271304881942	0.020705984805624324	seawater	20210123	peak_photo	Day2	Tektite
Metab_231	-0.005607895113119508	0.1916551800255045	seawater	20210123	dawn	Day2	Tektite
Metab_186	-0.02610856207208033	-0.02206935805877379	seawater	20210123	peak_photo	Day2	Yawzi
Metab_222	0.12760154414477723	-0.002044551162708879	seawater	20210123	dawn	Day2	Yawzi
Metab_225	-0.008515253028836342	-0.04232218137526885	seawater	20210123	dawn	Day2	Yawzi
Metab_228	-0.023435985773755823	-0.1345550121334605	seawater	20210123	dawn	Day2	Yawzi
Metab_230	0.06670921780284647	0.025756448748393366	seawater	20210123	peak_photo	Day2	Yawzi
Metab_239	0.02200152656147529	-0.06292451821827648	seawater	20210123	peak_photo	Day2	Yawzi
Metab_267	-0.0845089942967764	0.03741977965398578	seawater	20210125	peak_photo	Day4	Yawzi
Metab_269	-0.027661079188950884	0.0500952411293071	seawater	20210124	peak_photo	Day3	Yawzi
Metab_271	-0.05419232906703204	0.042146891788746345	seawater	20210124	peak_photo	Day3	Yawzi
Metab_274	-0.021063931043881254	0.05452280054582643	seawater	20210124	peak_photo	Day3	Yawzi
Metab_276	8.239432097251905e-4	0.014897513898512673	seawater	20210125	peak_photo	Day4	Yawzi
Metab_284	-0.07269174932574594	-0.04393518550210394	seawater	20210124	dawn	Day3	Yawzi
Metab_285	-0.041848267012829225	0.005596276207468546	seawater	20210125	peak_photo	Day4	Yawzi
Metab_292	-0.034210465802551826	0.005499494782737642	seawater	20210124	dawn	Day3	Yawzi
Metab_295	0.054040587882500844	0.013683397597085447	seawater	20210124	dawn	Day3	Yawzi
Metab_303	0.04686505334214988	0.007163288449093531	seawater	20210126	dawn	Day5	Yawzi
Metab_306	0.009544765091599091	-0.001991431626442062	seawater	20210126	dawn	Day5	Yawzi
Metab_308	-0.06610482249625646	0.004333070925665833	seawater	20210126	peak_photo	Day5	Yawzi
Metab_313	0.018570300196323466	-0.00976843427001461	seawater	20210125	dawn	Day4	Yawzi
Metab_317	0.013782653517103421	0.035854520841764874	seawater	20210126	peak_photo	Day5	Yawzi
Metab_323	0.003956731098678073	0.02057536775801915	seawater	20210126	peak_photo	Day5	Yawzi
Metab_325	0.09065987842392753	-0.003337838725575955	seawater	20210125	dawn	Day4	Yawzi
Metab_327	0.007339273530640205	0.020358848703009025	seawater	20210126	dawn	Day5	Yawzi
Metab_331	-0.0015540356930501304	-0.014954429956990683	seawater	20210125	dawn	Day4	Yawzi
